Sid,XKSid,YDSid,XKZZ,YDZZ
667,463:517:633:317:742:83:778:1047:1482:1048:483:1491:203:867:1478:335:633:158:1500:463:1048:335:301:792:486:112:951,185:1444:423:418:251:245:175:222:324:276:574:492:583:610:601:248:436:133:590:256:412:344:276:256:245:399:292:293:331:276:222:344:282:268:164:340:908:1031:434:276:282:271:340:319,伤肾脏|腹痛|一起吃会引起肚子痛|伤身|性味有所抵触|脱发|共烹炒易产生怪味|身体不适|一起吃严重会导致死亡|一起吃容易脱眉毛，可以吃绿豆治疗|伤肾脏|一起吃会引起中毒，可以用地浆水治疗|易发生腹胀，腹泻|面生黑斑|一起吃会引起中毒，可以用绿豆治疗|会导致中毒|会引起腹痛|会引起腹胀|会引起腹痛|伤肾脏|会伤肠胃|一起吃会引起中毒|减少铜的吸收|腹泻|伤肾脏|腹胀|二者起生化反应，不利于健康,可消食、除胀、通便|可开胃消食|可延缓衰老|可促进消化|可祛风通络、清热解毒|可清热解毒、生津止渴|可补中益气、健脾胃|可维持正常血压|可营养均衡|可补充营养、通便|可促进蛋白质吸收|可滋阴润燥、化食消积|可止鼻血|可滋补身体|可补铁利尿|可有助于蛋白质吸收|可增强营养|可壮骨补虚|可防癌抗癌|可解除疲劳|可清热补虚|可滋阴血、健脾胃|补充营养通便|促进血液循环、消除疲劳|预防糖尿病|滋补营养|润肠胃生津健身|提高蛋白质的吸收率|补肝肾|补充营养通便|降低胆固醇的吸收稳定血糖|健胃壮体|增强体质|可滋阴润燥|提高维生素B12的吸收率|有利于人体维生素B12的吸收|可助营养吸收|可滋阴润阳、润肠通便|可化痰软坚、滋阴润燥|可开胃消食|可促进宝宝成长|可均衡营养|可均衡营养|可治疗慢性尿道疾病
680,,428:97:492,,可治皮肤瘙痒|可营养丰富|可均衡营养
682,112:463:517:633,1061:646:1061:347:646,腹胀|伤肾脏|腹痛|腹痛,补气养血|催乳|可补气养血|可补虚益气|可补血
688,343:653:587,219:407:1488:79,引发腹痛|易中毒|会引起中毒,可增强免疫|可开胃消食|可健脾胃|可健脾益胃
671,,,,
690,975:939:350:226:220:219:293:293:238:951:553:492:219:83:939:220:927:317:492:866:867:293,287:301:268:347:247:407:423:630:135:287:276:276:296:395:319:301:262:314:276,身体不适|会影响消化|山药富维生素c，猪肝中含铜、铁、锌等金属微量元素，维生素c遇金属离子，则加速氧化而破坏，降低了营养价值|西红柿富含维生素C，猪肝使维生素C氧化脱氧，使其失去原来的抗坏血酸功能|会降低营养价值|会破坏营养|会降低铜、铁吸收|菜花含有大量纤维素，纤维素中的醛糖酸残基可与猪肝中的铁、铜、锌等微量元素形成螯合物而降低人体对这些元素的吸收|会降低营养|一起吃具有刺激作用，疮痈热病者忌食|身体不适|山楂含维生素C丰富，猪肝含有较多的铜、铁、锌等金属微量元素；维生素C遇到金属离子，则加速氧化，会使维生素C和金属都遭到破坏|有损营养素的吸收|一起吃会影响消化|一起吃会影响消化|有损营养素的吸收|面生黑斑|身体不适|会破坏维生素C|会使皮肤出现色素沉淀|会导致皮肤色素沉淀|会阻碍营养物质吸收,可增强免疫力|可改善贫血|可增强免疫|可保肝护肾|可清热解毒、补肝明目|可补气血|可滋阴清热、养肝明目|可促进营养物质的吸收|可提高人体免疫力|可清热解毒、补肝明目|可保肝护肾|滋补|有助于钙的吸收|补充全面营养|增强人体免疫力|防治贫血|缓解大脑疲劳|补充全面营养|滋补
698,428:112:428:112:112,412:120:301:271:120:232:263,一起吃会便秘|一起吃会消化不良|会引发便秘|会阻滞通气|会引起消化不良,增强体质|补血|可润肠通便、补铁补血|可清肺健胃|可补铁补血|可促进铁吸收|可生血、止血
694,185:1048,423:327:622:435:412,影响消化|腹痛,补肾|可补肾利尿|可补肾润肠|可促进营养吸收|可补肾利尿
805,,,,
670,,,,
681,,,,
697,,74,,有助于睡眠
689,293:633,483:463:486:463:517,身体不适|影响蛋白质的吸收,清热润肺、助消化|清热润肺、助消化|清热润肺、助消化|清热润肺、助消化|润肺
679,,,,
806,,,,
685,951:1491:247:327,238:344:97,影响营养素的吸收|影响营养素的吸收|形成草酸钙阻碍钙的吸收|影响钙的吸收,祛湿|滋阴养肾|增加营养素的吸收
672,1048:1482:301:112:317:83:951:867:633,256:256:293:164,伤胃|中毒|减少铜的吸收|腹胀|耗气伤身|脱发|气滞|面生黑斑|腹痛,促进血液循环、消除疲劳|促进血液循环、消除疲劳|提高蛋白质的吸收率|提高维生素B12的吸收率
691,,,,
680,,,,
693,,,,
691,,,,
738,591:948:310:1048:627:1047:1048:948:1316:560:271:357,222:418:400:245:295:276:492:300:436:612:1499:263:245:268:355:94:219:311:908:355:347:418:293:94:357:311,会导致身体不适|会易中毒|会危害身体|会易消化不良|栗子中的维生素易与牛肉中的微量元素发生反应，削弱栗子的营养价值，而且不易消化|身体不适|不易消化，会引起腹胀|一起吃会引起中毒，可以用人乳和鼓汁治疗|腹胀|不利于营养素的吸收|一起吃容易中毒，可以用人乳和鼓汁解毒|会易上火,可强健身体|可补气益血|可增强免疫力|可补脾健胃、解毒止痛|可补充能量、营养丰富|可健胃消食|可促进吸收|可养肝明目、增强食欲|可健脾养胃|可健脾开胃|可养血补气|可补脾健胃|健胃益气|可补脾健胃|可防治食欲不振|可保护胃黏膜|可预防感冒、防止中暑|可增强免疫力、降血压|可延缓衰老|养血补血|催乳汁|易于消化|帮助吸收维生素B12|保护胃黏膜|驱寒、治腹痛|营养瘦身
738,627:560:1316,357:94:293:418:355:311:245,引起呕吐|不利于营养素的吸收|腹胀,驱寒、治腹痛|保护胃黏膜|帮助吸收维生素B12|易于消化|养血补血|营养瘦身|健胃益气
742,627:271:1048:1316:667,,呕吐|中毒|不宜消化、腹胀|不利于营养的吸收；|性味有所抵触,
750,158,276:276,影响营养素的吸收,增强体质|增强体质
746,,112,,可防颈椎病、美容
807,,,,
751,,,,
755,,,,
748,,824:1509:1499,,可补肾强腰|可补虚健体|可补肾壮阳
763,221:327:601:655:1047:1381:991:627:887:335:158:245,185:120:203:317:1053,易发生黄疸和脚气病|一起吃会引起中毒，可以用地浆水治疗|伤元气|可能会引起腹胀、胸闷等症。|腹泻|羊肉大热，功能益气补虚；醋中含蛋白质、糖、维生素、醋酸及多种有机酸，其性酸温，消肿活血，应与寒性食物配合，与羊肉不宜|影响营养素的吸收|二者都不易消化，同炖共炒都不相宜，甚至可能同吃还会引起呕吐|二者功能相反，不宜一起吃|腹泻|同食会引起中毒|两补同时，令人肠胃气壅,消积滞、化痰热|清热泻火、除烦、止渴|补肾壮阳|去腥|养血润燥
778,955:158:327:667:340:276,301,减少营养素的吸收|一起吃会引起中毒|一起吃会引起中毒|共烹炒易产生怪味|会降低营养价值|会破坏维生素C,可恢复活力
776,158:158:587,350:263,一起吃会引起中毒，可以用鸡屎白治疗|会导致水肿、腹痛、腹泻|会易中毒,可治疗脾胃虚弱|可补脾健胃
781,,,,
783,,,,
868,311:514:1482:97:939:31:1024:256:1454:661:803,627:287:321:238:178:435:630,一起吃会伤元气|一起吃会引起痢疾，可以用鸡屎白治疗|一起吃会中毒|同食会腹痛|性味不反但功能相乘|一起吃会引起身体不适|影响消化吸收|大蒜辛温有毒，主下气消谷、除风杀毒而鸡肉甘酸温补，两者功用相佐，且蒜气熏臭，从调味角度讲，也与鸡不合|两者共食，恐助火热，无益于健康|一起吃严重会导致死亡|腹泻,可补肾、补血、养身、健脾胃|强化肝脏美化肌肤|帮助充分吸收维生素A|消肿清热利尿|增进食欲|促进蛋白质的吸收|增加抵抗力
817,256:31:97:1482:661:514,410,两者功用相佐|引起身体不适|同食会腹痛|中毒|严重会导致死亡|食则拉痢,促进蛋白质的吸收
818,939:661,418,容易引起身体不适|影响维生素的吸收,提供高质量蛋白质
819,,287,,促进胶原蛋白的吸收
820,296,311:1488:32,会不利营养吸收,可利于铁的吸收|可补肝肾、温肾阳|可治疗夜盲症
824,,350:587:662,,治小儿脾虚疳积|补肾|治遗精
823,,,,
822,514,296,腹泻,增加营养素的吸收量
869,256:1500,281:350,中毒|久食令人阳虚，水肿腹泻,清肺补血、利尿消肿|补阴养肺
840,,220,,可清热去火
837,,,,
849,,,,
845,,,,
838,,,,
839,,,,
702,,,,
735,,238,,可治疗小便不爽
725,997:881,,会损坏肝功能|会易诱发癌症,
706,,,,
1201,,,,
705,,,,
803,282:1454:276:908:560:1500:357:311:868,,一起吃容易引起腹泻和呕吐|性味相反不宜一起吃|腹泻呕吐|易产生刺激肠胃道的物质而引起腹泻|引起肠胃功能紊乱，导致腹泻|脾胃虚寒者忌食|寒热一起吃，易致腹泻|一起吃会脱水|腹泻,
808,948:350:948,,影响营养素的吸收|生涩易便秘|会产生不利人体物质,
792,414:407:930:667,,易引发心绞痛|心痛|引发心脑血管疾病|腹泻,
858,908:486:463:610,185,一起吃伤元气|伤肾脏|损伤脾胃|一起吃严重会导致死亡,润肺止咳
1508,,,,
859,,,,
866,,,,
908,803:1463:610:1500:97:858:126:858:125:574,1031:335:74:63:434:1512:314:268:395:580:251:112:945:321:323:578:319:301:271,易产生刺激肠胃道的物质而引起腹泻|鸡蛋本身含有许多与味精成份相同的谷氨酸，所以炒鸡蛋时放味精，不仅不能增加鲜味，反而会破坏和掩盖鸡蛋的天然鲜味|腹泻、生结石|性咸平，孕妇及产后便秘者忌食|一起吃会腹痛|一起吃伤元气|一起吃会影响营养素的吸收|损伤脾胃|鸡蛋中黏液性蛋白易和豆浆中的胰蛋白酶结合，产生一种不能被人体吸收的物质大大降低了人体对营养的吸收|鸡蛋中的蛋白质与菠萝中的果酸结合，易使蛋白质凝固，影响消化,促进骨骼生长|滋阴润燥清心安神|体改蛋白质的吸收|防止胆固醇过高|有利于营养素的吸收|润滑肌肤|滋阴润燥清热解毒|提高人体对维生素c和维生素E的吸收率|滋阴润燥清热解毒|补气养血|润肺补肾美肤|降低胆固醇|增加蛋白质的吸收|帮助充分吸收维生素A|缓解眩晕头痛|补气养血|增强人体免疫力|提高维生素B12的吸收|补肾行气
919,514:1500,423,一起吃会引起中毒，可以用地浆水治疗|二物皆属凉性，不宜一起吃,滋肾补脑
927,418:690,271,面部易长黑斑|面生黑斑,缓解肾虚腰痛阳痿
923,514:1500,,中毒|胃肠不适,
918,1316,,一起吃会引起中毒,
924,,,,
887,984:301:763:324,,引发痼疾|菠菜含丰富的钙质，乳酪所含的化学成份会影响钙的消化吸收|二者功能相反，不宜一起吃|乳酪是油脂性食物，而莴苣性寒，二者同食，容易导致消化不良，或腹痛腹泻。同时，莴苣生食时，因洗涤不净，易受寄生虫污染，如钩虫、蛔虫等，皆不利于健康。,
901,,,,
898,,,,
930,792:226,412:120:195:238:418:120,引发心脑血管疾病|会导致铜元素析放,促进血液循环|补中调胃利水消肿促进骨骼发育|可延缓衰老|可清热平肝|可健胃消食|可增强免疫
939,350:868:245:245:434:1478:690:690:158:587:800:818:800,418:349:646:86:120:158:521:276:238:276:646:1200:418:394:276:1381,同食会引起腹痛、恶心、呕吐等症状。|性味不反但功能相乘|一起吃会中毒|会引起中毒|生毒疮|一起吃会中毒|一起吃会影响消化|会影响消化|缓解脚气病，利尿|会产生有毒物质|会易致癌|容易引起身体不适|二者生化反应极为复杂，可能产生不利于人体的物质,可营养丰富、健脑益智|可清热消肿|可有利营养吸收|可利尿消肿|可有益补钙|可祛湿消肿|可滋补暖胃、强心补血|改善妊娠水肿|可清热除湿|可治水肿、均衡营养|有利于营养的吸收|消水肿|提供全面的营养|营养吸收更全面|改善妊娠水肿|利湿
951,680:1318:238:296:350:868:667:685:672:1318:296:690:1454:350:238,158:120:1499:412:412:646:410:226:355:271:646:120:220:219,影响营养素的吸收|会易中毒|会导致身体脱水|会引起水肿|会不利于营养物质吸收|会不利营养吸收|二者起生化反应，不利于健康|影响营养素的吸收|气滞|一起吃会中毒，用黑豆、甘草可以解毒|引起水肿|一起吃具有刺激作用，疮痈热病者忌食|身体不适|同食会引起腹痛、恶心、呕吐等症状。|同食降低营养价值。,可利水消肿|可缓解更年期症状、消肿利湿|可滋阴润肤|补充核酸抗老化|可润肤抗老、补充核酸抗老化|可营养互补、健脾和胃|可利尿美容|可营养丰富|可辅助治疗脾胃虚弱|可预防慢性病|有利于吸收营养|清心润肺健脾利胃|通乳汁|通乳汁
950,1478:226:1478,344:120:185:120:158,容易引起腹泻|会不利营养吸收|会引起中毒,美容|补充钙质|可利水消肿|可解毒美容、温补脾胃、补充蛋白质|可健脾利湿、补血
943,226:514,271:423:444,会不利营养成分吸收|会导致消化不良,可通利肠胃|可滋补身体、补益肝肾、利水消肿|可治疗腹泻
948,752:808:738,113,可产生不良的生化反应，有害于人体|影响营养素的吸收|一起吃会引起中毒，可以用人乳和鼓汁治疗,可滋阴补肾
945,521:1478,908:908:238:1444:412,令人腰腹作痛|会危害健康,增加蛋白质的吸收|可补虚养身|可降血压、降血脂、清热利尿|可减肥、降血压、补虚、健胃|可保护血管、益胃润肠
940,,,,
954,,311:418:120:256,,可降血压、利水、疏通血管|可促进钙的吸收、降血压|可降血压、降血脂、益胃健脾|可开胃消食、杀菌、降血压
954,,,,
957,,,,
944,870:222,,一起吃会引起中毒，可以用绿豆治疗|同食有损肠胃。,
942,1021:1020:321:243:251,120:120:412:412,功能正好相反，不宜同吃|一起吃会引起中毒，可以用地浆水治疗|会降低营养|会不利营养吸收|会阻碍营养吸收,具有很好的进补和食疗功用。|可增强免疫力|可补气养血、健体强身|可补气养血、健体强身
935,800:301:245,344,身体不适|腹泻|身体不适,滋阴健脾
961,245,134:248:135:138:120:137:129:418:120:870,会易中毒,补钙|补气养血|补钙|补钙|补钙|补钙|补钙|可提高免疫力|可补气养血|可健脑补肾、滋补强身
984,887:1040:887:898,120:195:245:357,引发痼疾|会导致铜、铁流失|会影响钙吸收|会影响钙吸收,增加蛋白质的吸收|可延缓衰老|可预防感冒|可补虚养身、健脾开胃
997,725,418:295:120:195:435:357:229:1466,会损坏肝功能,补脑健脑|防癌抗癌|蛋白质的吸收率|可养肝明目、改善视力|可提高免疫力|可补虚养身、健脾开胃|可增进食欲|可助消化
981,752,120,易出现消化不良,促进蛋白的吸收
1069,,120:412,,可促进智力发育|可提高免疫力
991,763,,影响营养素的吸收,
955,752:778:620:620:752,120:350:222,二者起生化反应，不利于健康|减少营养素的吸收|会导致身体不适|会易中毒|会危害健康,增加蛋白质的吸收|可治虚劳体弱|可降胆固醇
986,,226:410:572:120:56:1454,,滋润肌肤抗衰老|可提高免疫力|可利于营养吸收|可滋阴润燥、健脾开胃|可降胆固醇|可除腥、补充营养
1068,,120,,促进钙的吸收
983,120,195,增加蛋白质的吸收率,防癌抗癌
975,444:690,,身体不适|身体不适,
997,,,,
944,,,,
992,601,120,引起胃肠不适,促进蛋白质的吸收
954,,,,
969,,,,
946,,,,
973,,,,
1202,,,,
1002,245:591:226:559:521:534:245:247:206:226:248:350:534:268:618:601:226,295:615:221:1499:344:317:271:311:251:1165,一起吃会引起痢疾，可以用黑豆、甘草解毒|会不利消化|会导致食物中毒|会产生毒素|会中毒|会刺激肠胃道|会引起腹泻、腹胀|会易中毒|会易中毒|会产生剧毒|腹痛头晕，食物中毒|同食会引起腹痛、恶心、呕吐等症状。|身体不适|形成草酸钙产生结石|产生砒霜会中毒|腹痛、腹泻、恶心|产生砒霜会中毒,可补脾和胃|可消热去燥、增进食欲|可促进食欲|可补益气血|改善肝脏功能|可补脾益气|可补肾壮阳|可促进新陈代谢|润肺补肾美肤|护心解毒
1017,311,394:344:120:243:251,将所含的维生素B1全部破坏。,强壮身体防癌抗病|养血补血|补钙|可保护肝肾|可养心润肺、润肤
1011,,,,
1015,112:271:521:301:112:591,434:276:282:178:245:251:120,一起吃会消化不良|影响营养的吸收|一起吃会中毒|会影响钙吸收|会影响钙的消化吸收|会不利消化,可开胃、易吸收|可增强机体免疫力、清热解毒、滋阴清肺|可营养全面|可健胃补肾、理中益气|可护肝补肾|可凉血止血、滋阴润肺|可利于消化
1007,,,,
1009,,,,
1066,268,1165,形成草酸钙产生结石,护心解毒
1002,268:610,1165,形成草酸钙产生结石|腹泻,护心解毒
1067,248:534:268:601:226:245,344:1165:251,腹痛头晕，食物中毒|身体不适|形成草酸钙产生结石|腹痛、腹泻、恶心|产生砒霜会中毒|痢疾,改善肝脏功能|护心解毒|润肺补肾美肤
1017,534,276:206:434:287:398:276:340:180,降低蛋白质的营养价值,防止牙龈出血解热除燥|提高营养价值|可养心安神、软坚利咽|可清热解毒|可防治牙龈出血|可预防牙龈出血|可提高营养价值|可提高营养价值
1021,418:226:311:245:646:927:94:222:226:463:571:556:646:549:600:463:351:618:463:541:222:548:483:560:486:482:534:97:1318:463:942:610:434:600,866,会引起结石|产生砒霜会中毒|一起吃会引起蛋白质的吸收|一起吃会引起中毒|腹泻|会易中毒|会刺激肠胃、不利消化|会郁积腹中、损伤肠胃|会引起腹痛、腹胀|会引起腹泻、损伤肠胃|会刺激肠胃|会引起腹泻、损伤胃肠|会导致肠胃不适、腹泻|会降低营养价值|会伤肠胃|会引起腹泻、损伤肠胃|会损害健康|产生砒霜会中毒|引起腹泻、损伤肠胃|刺激胃肠，出现腹痛、恶心、呕吐等症状|二者一起吃，伤人肠胃|腹痛|引起腹泻、损伤肠胃|令患软痈|引起腹泻、损伤肠胃|伤肠胃|身体不适|容易在体内凝成柿石|中毒|二者一起吃，伤人肠胃|功能正好相反，不宜同吃|一起吃会生病、中毒|腹痛|易导致腹泻,可补肾益气、降血压
1019,,,,
1020,222:541:560:418:97:1318:942:610:600:226:311:646,,一起吃会中毒，可以用藕节治疗|刺激肠胃|一起吃会使人走路软脚，可以喝大蒜汁治疗|易引起结石症状|结石|一起吃会引起中毒，可以用地浆水治疗|一起吃会引起中毒，可以用地浆水治疗|寒凉腹泻|一起吃会引起中毒，可以用柑橘皮解毒|一起吃会引起腹泻|影响蛋白质的吸收|一起吃易导致腹泻,
1040,559:1048:311:984:175:556:560:112,120:220:120:388,影响维生素C的吸收|腹胀|影响维生素的吸收|会导致铜、铁流失|会导致腹痛|会引起腹泻|会易中毒|会破坏维生素B1,去热寒|可清热解暑、利水消肿|可补气养血、美容养颜|可治鼻出血、牙龈出血
1031,1257:311:610:63:79:1257:1313:348,32:908:427:388:870:335:238:271:301:667:1389,引起痛风|降低锌的吸收|会引起肠胃不适|会影响吸收|会破坏维生素|会易通风|会导致胸闷、气短|会降低营养,可治疗出汗不止|促进骨骼生长|可润肠通便|可止血|可预防骨质疏松|可润肺调中、滋阴润肺|可活血化瘀、软坚散结|可补肾降糖|可改善更年期不适症|可滋阴润阳、润肠通便|去腥
1024,752:868,327,易发生消化不良|影响消化吸收,营养全面，易于吸收
1034,725,241,会含有害物质,可滋阴润燥
1036,,,,
1040,,,,
1026,1257,1272,高尿酸症患者易引发痛风,杀菌
1047,763:238:63:412:168:600:667:738:1313,344,腹泻|身体不适|身体不适|腹胀|腹胀|身体不适|身体不适|身体不适|身体不适,补气
1038,,,,
1029,,,,
1038,,,,
1031,1257,,同食易发痛风,
1042,311,,将所含的维生素B1全部破坏。,
428,534:86:698:1478:610:698:534:86:698:1478,661:251:680:434:301:314:238:251:661:120:412:661:680:276:134:276:314:301:395:120:661:412:434:301:314:238:661:120,会影响钙、铁吸收|会引起淤血|会引发便秘|会产生有毒物|胃肠不适|一起吃会便秘|会影响钙、铁吸收|会引起淤血|会引发便秘|会产生有毒物,可益寿养颜|可预防甲状腺肿大|可治皮肤瘙痒|可治水肿、贫血|可强健筋骨|可助消化、均衡营养|可降血压、降血脂、消肿利湿|可预防甲状腺肿大|可益寿养颜|可均衡营养、降血压|可排毒素、促进营养吸收|可益寿养颜|可治皮肤瘙痒|防治碘不足|预防碘缺乏|防治碘不足|促进铁的吸收|防止结石|促进铁的吸收|预防碘缺乏|血液循环净化血液降低胆固醇|可排毒素、促进营养吸收|可治水肿、贫血|可强健筋骨|可助消化、均衡营养|可降血压、降血脂、消肿利湿|可益寿养颜|可均衡营养、降血压
434,610:610:293,1058:292:1473:235:1017:1318:1015:120:185:428:908:908:667:191:185:394,影响钙的吸收|会不利消化|会影响钙吸收,可强身健体|可保护心脏|可清热利尿、渗湿通淋|可治高血压|可养心安神、软坚利咽|可润肺止咳|可开胃、易吸收|可清热解毒|可清肺热、治咳嗽、清心开胃|可治水肿、贫血|有利于营养素的吸收|可补充维生素B12和钙质|可化痰软坚、滋阴润燥|清肺热治咳嗽|清肺热治咳嗽|能吸收到更高的营养
442,,,,
443,,,,
286,,,,
427,,,,
1058,222:222,423:434:311:271:295:243:245:248,一起吃容易引起霍乱|会引起霍乱,滋补肺阴|可强身健体|可强化心脏|可润肠通便|可提高免疫力、促进消化|可清热利尿、健脾益气|可保护眼睛|可补肝肾
1061,1405:222,412:682:682:243:436:412,加重肾脏负担|会危害健康,使肤质嫩滑|补气养血|可补气养血|可营养丰富|可降胆固醇|可补铁、提高免疫力
1064,610,248,腹泻,通乳汁
1053,492:541:610:610:541,763:869:340:327:1499,不易消化|不易消化|不易消化|会引起腹痛、恶心|会引起腹痛、恶心,养血润燥|可补五气、袪火热、滋养五脏|可防癌抗癌|可滋阴润燥、清热养血|可补肾壮阳
1500,908:935:548:319:869:667:500:311:803:610:923:919:869:331:319,238:238:578:1318:1499,性咸平，孕妇及产后便秘者忌食|会影响胎儿健康|会不利消化|会引起中毒|会导致水肿、腹泻|会引起腹痛|心痛|一起吃会中毒，可以用橄榄汁解毒|脾胃虚寒者忌食|消化不良|胃肠不适|二物皆属凉性，不宜一起吃|久食令人阳虚，水肿腹泻|伤元气|一起吃难以消化,润肤明目减肥|可润肤、明目|可补脾胃、益心肺、滋肝肾|可清热降火|可补肾强精、延年益寿
1048,63:412:63:738:667:738:667:672:600:1040:168:742:164:694:412,276:1473:256,一起吃容易中毒，用地浆水可以解毒|会不利消化|会引起中毒|会易消化不良|会伤肠胃|不易消化，会引起腹胀|一起吃容易脱眉毛，可以吃绿豆治疗|伤胃|一起吃会腹痛，可以用地浆水治疗|腹胀|一起吃会肠绞痛|不宜消化、腹胀|引起结肠癌|腹痛|一起吃会中毒，可以用莲房治疗,可补肝肾、清热毒|可利水通淋、清热祛湿|可清热解毒、利尿
1057,610,412,腹胀,润肠美肤嫩白降压
1056,1313,412,不宜久存,润肠美肤嫩白降压
1501,,,,
276,803:611:243,238:232:957:627:133:627:521:1048:1015:690:887:492:750:939:869:667:667:168:690:428:627:939,腹泻呕吐|身体不适|会降低营养价值,可润肠减肥|可促进肠胃蠕动、帮助消化|可增强造血功能、增强免疫力|可促进大脑发育|可清肺热、止痰咳|可健脑益肾|可清热润燥|可补肝肾、清热毒|可增强机体免疫力、清热解毒、滋阴清肺|可保肝护肾|可预防骨质疏松|可开胃消食|增强体质|可治水肿、均衡营养|可促进血液中胆固醇的代谢|可开胃消食|补充营养通便|增加抵抗力|滋补|防治碘不足|去除雀斑和黑眼圈|改善妊娠水肿
287,243:245:350:245,819:407:418:120:868:868:418:120:690:1017:32,降级维生素C的吸收|降低维生素C的吸收|会影响营养素的吸收|会降低油菜的营养价值,促进胶原蛋白的吸收|预防大肠癌和胃癌|防止便秘|清肺止咳|强化肝脏美化肌肤|可养肝美肤|可预防癌症、润肠通便|可增强机体免疫力|可增强免疫力|可清热解毒|可健脾补虚、清热消炎
311,803:245:243:868:1031:868:1042:1482:112:1020:1021:243:1040:1500:803:1381:1017,226:646:601:492:335:418:650:622:820:954:32:344:226:738:293:347:355:1002:1058:869:738:738:622:97:226:120:618,会引起脱发|会腹胀、腹泻|会降低营养|会易伤元气|降低锌的吸收|一起吃会伤元气|将所含的维生素B1全部破坏。|一起吃会引起呕吐|降低铁的吸收|影响蛋白质的吸收|一起吃会引起蛋白质的吸收|芹菜中的维生素C将会被分解破坏，降低营养价值|影响维生素的吸收|一起吃会中毒，可以用橄榄汁解毒|一起吃会脱水|损伤牙齿|将所含的维生素B1全部破坏。,可降血压|可预防心血管疾病、降血压|可利尿消肿|可降血脂、消食、通便|可润肺益肾、止咳平喘|可延缓衰老|可降血压|可降血压|可利于铁的吸收|可降血压、利水、疏通血管|可祛伏热、利小便|可降脂降压|可健胃消食|营养瘦身|可预防心血管疾病|可降血压|可增食欲、补气虚|可促进新陈代谢|可强化心脏|可滋阴润肺|可增强免疫力、降血压|营养瘦身|润发明目养血|降血压|降血压降血脂健胃消食|清肠排毒|降血压降血脂健胃消食
301,667:112:935:180:1015:881:870:112:120:423:251:271:961:738:672:870:1318:243:120:887:271:935:935:112,238:690:92:109:646:698:778:1368:908:399:195:428:1031:908:646:109:690:428:222,减少铜的吸收|会损害牙齿|会导致腹泻|会影响钙吸收|会影响钙吸收|会易破坏酸奶钙质|会不利消化吸收|会影响钙的消化吸收|会影响钙吸收|会破坏维生素C|会引起腹泻|会引起腹泻|会不利营养吸收|会降低营养价值|减少铜的吸收|一起吃会引起痢疾|引起心痛|菠菜中的维生素C会被黄瓜中的分解酶破坏|菠菜中的草酸与豆府中的钙形成草酸钙，使人体的钙无法吸收|菠菜含丰富的钙质，乳酪所含的化学成份会影响钙的消化吸收|腹泻|一起吃易导致腹泻|腹泻|食物中的维生素C会对铜的析放量产生抑制作用,可利尿消炎|可改善贫血|可润燥养血、调养身体|可养血润燥、滋补肝肾|可美白皮肤|可润肠通便、补铁补血|可恢复活力|可通便|提高维生素B12的吸收|可排毒解毒|可保持心血管的畅通|可强健筋骨|可改善更年期不适症|可预防贫血、营养不良、安神、补钙|有利于维生素的吸收|促进营养素的吸收|防治贫血|防止结石|加快血液循环预防癌症
